year,tl,kg,age,cohort,n_gc,ha_hydrilla,n_ha,kg_gc,kg_ha
2006,1262,23.2,12,1994,25128,1203,21,129929,108
2006,569,2.7,2,2004,25128,1203,21,129929,108
2006,504,2.2,2,2004,25128,1203,21,129929,108
2006,846,8,3,2003,25128,1203,21,129929,108
2006,1138,23.9,10,1996,25128,1203,21,129929,108
2006,1187,18.6,10,1996,25128,1203,21,129929,108
2006,1207,19.5,12,1994,25128,1203,21,129929,108
2006,1086,21.3,10,1996,25128,1203,21,129929,108
2006,525,2.9,2,2004,25128,1203,21,129929,108
2006,837,8.2,4,2002,25128,1203,21,129929,108
2006,556,2.9,2,2004,25128,1203,21,129929,108
2006,821,7.1,3,2003,25128,1203,21,129929,108
2006,803,10,3,2003,25128,1203,21,129929,108
2006,1095,18.2,12,1994,25128,1203,21,129929,108
2006,687,7.5,4,2002,25128,1203,21,129929,108
2006,488,1.9,2,2004,25128,1203,21,129929,108
2006,1240,21.6,11,1995,25128,1203,21,129929,108
2006,724,6.8,3,2003,25128,1203,21,129929,108
2006,1055,15.3,11,1995,25128,1203,21,129929,108
2006,1044,15.9,10,1996,25128,1203,21,129929,108
2006,769,8.4,4,2002,25128,1203,21,129929,108
2006,466,2,2,2004,25128,1203,21,129929,108
2006,757,7.6,3,2003,25128,1203,21,129929,108
2006,765,7.6,3,2003,25128,1203,21,129929,108
2006,1135,19.7,11,1995,25128,1203,21,129929,108
2006,810,10.9,4,2002,25128,1203,21,129929,108
2006,793,7,3,2003,25128,1203,21,129929,108
2006,809,7.2,3,2003,25128,1203,21,129929,108
2006,766,7.3,3,2003,25128,1203,21,129929,108
2006,1147,19.1,11,1995,25128,1203,21,129929,108
2006,700,4.8,3,2003,25128,1203,21,129929,108
2006,805,8.3,9,1997,25128,1203,21,129929,108
2006,829,8.6,3,2003,25128,1203,21,129929,108
2007,1219,,11,1996,28261,490,58,142911,292
2007,689,,2,2005,28261,490,58,142911,292
2007,548,1.8,2,2005,28261,490,58,142911,292
2007,1351,34,13,1994,28261,490,58,142911,292
2007,1023,14.6,12,1995,28261,490,58,142911,292
2007,1115,,12,1995,28261,490,58,142911,292
2007,933,9.8,12,1995,28261,490,58,142911,292
2007,1121,,8,1999,28261,490,58,142911,292
2007,686,6,4,2003,28261,490,58,142911,292
2007,767,8.4,3,2004,28261,490,58,142911,292
2007,792,6.9,3,2004,28261,490,58,142911,292
2007,1171,,12,1995,28261,490,58,142911,292
2007,652,,2,2005,28261,490,58,142911,292
2007,722,5.1,4,2003,28261,490,58,142911,292
2007,1139,22,11,1996,28261,490,58,142911,292
2007,1040,19.7,11,1996,28261,490,58,142911,292
2007,692,5.9,3,2004,28261,490,58,142911,292
2007,1275,23.3,11,1996,28261,490,58,142911,292
2007,1095,19.9,11,1996,28261,490,58,142911,292
2007,885,7.3,5,2002,28261,490,58,142911,292
2007,704,5.7,3,2004,28261,490,58,142911,292
2007,1193,22.7,12,1995,28261,490,58,142911,292
2007,691,4.6,3,2004,28261,490,58,142911,292
2007,874,10.4,6,2001,28261,490,58,142911,292
2007,1073,17.1,12,1995,28261,490,58,142911,292
2007,1252,,12,1995,28261,490,58,142911,292
2007,1108,21.6,12,1995,28261,490,58,142911,292
2007,1100,16.5,12,1995,28261,490,58,142911,292
2007,686,0.5,2,2005,28261,490,58,142911,292
2007,1124,22.7,12,1995,28261,490,58,142911,292
2007,622,3.6,2,2005,28261,490,58,142911,292
2007,1161,,11,1996,28261,490,58,142911,292
2007,689,5.1,3,2004,28261,490,58,142911,292
2007,1193,23.7,12,1995,28261,490,58,142911,292
2007,646,5.1,3,2004,28261,490,58,142911,292
2007,942,11.8,11,1996,28261,490,58,142911,292
2007,1128,20.5,12,1995,28261,490,58,142911,292
2007,917,14.8,11,1996,28261,490,58,142911,292
2007,704,6.4,4,2003,28261,490,58,142911,292
2007,640,3.4,2,2005,28261,490,58,142911,292
2007,1169,,12,1995,28261,490,58,142911,292
2007,1129,,12,1995,28261,490,58,142911,292
2007,1055,,11,1996,28261,490,58,142911,292
2007,1005,14.6,12,1995,28261,490,58,142911,292
2007,946,,10,1997,28261,490,58,142911,292
2007,664,5.2,3,2004,28261,490,58,142911,292
2007,702,6,3,2004,28261,490,58,142911,292
2007,675,5.5,2,2005,28261,490,58,142911,292
2007,678,4.3,3,2004,28261,490,58,142911,292
2009,798,7.9,3,2006,25857,586,44,158621,271
2009,1183,23.2,14,1995,25857,586,44,158621,271
2009,1144,26.8,14,1995,25857,586,44,158621,271
2009,1162,20.9,14,1995,25857,586,44,158621,271
2009,1114,23.6,14,1995,25857,586,44,158621,271
